query id,configuration id,planner type,planning time,speech cost (character),speaking time relative to naive,tuple_count,categorical_cols,numerical_cols,mS,mW,mC
1,0,naive,0.002,1380,Infinity,11,1,3,null,null,null
1,1,linear,24.574,1209,0.876086957,11,1,3,1,1,1
1,1,greedy,0.034,1293,0.936956522,11,1,3,1,1,1
1,1,hybrid,0.008,1277,0.925362319,11,1,3,1,1,1
1,2,linear,7.633,1119,0.810869565,11,1,3,1,1.5,1
1,2,greedy,0.051,1084,0.785507246,11,1,3,1,1.5,1
1,2,hybrid,0.004,1081,0.783333333,11,1,3,1,1.5,1
1,3,linear,5.607,1042,0.755072464,11,1,3,1,2,1
1,3,greedy,0.031,1119,0.810869565,11,1,3,1,2,1
1,3,hybrid,0.004,1179,0.854347826,11,1,3,1,2,1
1,4,linear,28.081,1209,0.876086957,11,1,3,1,1,2
1,4,greedy,0.003,1293,0.936956522,11,1,3,1,1,2
1,4,hybrid,0.003,1277,0.925362319,11,1,3,1,1,2
1,5,linear,7.799,1119,0.810869565,11,1,3,1,1.5,2
1,5,greedy,0.025,1084,0.785507246,11,1,3,1,1.5,2
1,5,hybrid,0.003,1084,0.785507246,11,1,3,1,1.5,2
1,6,linear,6.362,1042,0.755072464,11,1,3,1,2,2
1,6,greedy,0.024,1119,0.810869565,11,1,3,1,2,2
1,6,hybrid,0.002,1179,0.854347826,11,1,3,1,2,2
1,7,linear,21.775,1052,0.762318841,11,1,3,2,1,1
1,7,greedy,0.005,1221,0.884782609,11,1,3,2,1,1
1,7,hybrid,0.007,1246,0.902898551,11,1,3,2,1,1
1,8,linear,6.866,910,0.65942029,11,1,3,2,1.5,1
1,8,greedy,0.079,992,0.71884058,11,1,3,2,1.5,1
1,8,hybrid,0.005,936,0.67826087,11,1,3,2,1.5,1
1,9,linear,5.709,806,0.584057971,11,1,3,2,2,1
1,9,greedy,0.217,911,0.660144928,11,1,3,2,2,1
1,9,hybrid,0.007,874,0.633333333,11,1,3,2,2,1
1,10,linear,17.556,1052,0.762318841,11,1,3,2,1,2
1,10,greedy,0.006,1221,0.884782609,11,1,3,2,1,2
1,10,hybrid,0.008,1246,0.902898551,11,1,3,2,1,2
1,11,linear,4.871,910,0.65942029,11,1,3,2,1.5,2
1,11,greedy,0.095,992,0.71884058,11,1,3,2,1.5,2
1,11,hybrid,0.006,941,0.681884058,11,1,3,2,1.5,2
1,12,linear,4.7,806,0.584057971,11,1,3,2,2,2
1,12,greedy,0.191,914,0.662318841,11,1,3,2,2,2
1,12,hybrid,0.006,871,0.63115942,11,1,3,2,2,2
1,13,linear,25.91,1052,0.762318841,11,1,3,3,1,1
1,13,greedy,0.007,1221,0.884782609,11,1,3,3,1,1
1,13,hybrid,0.01,1248,0.904347826,11,1,3,3,1,1
1,14,linear,6.372,824,0.597101449,11,1,3,3,1.5,1
1,14,greedy,0.187,990,0.717391304,11,1,3,3,1.5,1
1,14,hybrid,0.006,875,0.634057971,11,1,3,3,1.5,1
