MacBook,12,8GB,256GB,1300,1.1,Intel Core m3,10,Force Touch,2.03
MacBook,12,8GB,512GB,1600,1.2,Intel Core m5,10,Force Touch,2.03
MacBook Air,13,8GB,128GB,1000,1.6,Intel Core i5,12,Multi-Touch,2.96
MacBook Air,13,8GB,256GB,1200,1.6,Intel Core i5,12,Multi-Touch,2.96
MacBook Pro,13.3,8GB,256GB,1500,2,Intel Core i5,10,Force Touch,3.02
MacBook Pro Touch Bar and Touch ID,13.3,8GB,256GB,1800,2.9,Intel Core i5,10,Force Touch,3.02
MacBook Pro Touch Bar and Touch ID,13.3,8GB,512GB,2000,2.9,Intel Core i5,10,Force Touch,3.02
MacBook Pro,13.3,8GB,128GB,1299,2.7,Intel Core i5,10,Force Touch,3.02
MacBook Pro Touch Bar and Touch ID,15,16GB,256GB,2400,2.6,Intel Core i7,10,Force Touch,4.02
MacBook Pro Touch Bar and Touch ID,15,16GB,512GB,2800,2.7,Intel Core i7,10,Force Touch,4.02
MacBook Pro,15,16GB,256GB,2000,2.2,Intel Core i7,10,Force Touch,4.02
