Gionee F5,8,Android Marshmallow,162,13,32,4
verykool s5019 Wave,4,Android Marshmallow,168,5,4,0.5
verykool s5021 Wave Pro,4,Android Marshmallow,168,8,4,0.5
ZTE Blade A2 Plus,8,Android Marshmallow,189,13,32,4
Lenovo Tab3 8 Plus,8,Android Marshmallow,320,8,16,3
BLU Grand Max,4,Android Marshmallow,154,8,8,1
BLU Grand Energy,4,Android Marshmallow,190,5,8,1
BLU Dash L3,2,Android Marshmallow,135,3.15,4,0.5
BLU Advance 4.0 L3,4,Android Marshmallow,127,5,4,0.5
Asus Zenfone 3s Max ZC521TL,8,Android Nougat,175,13,32,3
Lenovo Yoga Tab 3 Pro,4,Android Marshmallow,666.8,13,64,4
ZTE Blade L110,4,Android Lollipop,110,5,4,0.5
Archos 55b Cobalt,4,Android Marshmallow,188,13,16,1
Archos 50b Cobalt,4,Android Marshmallow,160,13,16,1
Wiko U Feel Prime,8,Android Marshmallow,150,13,32,4
BLU Vivo XL2,4,Android Marshmallow,175,13,32,3
Asus Zenpad 3S 10 Z500KL,6,Android Marshmallow,490,8,32,4
BLU Vivo 5 Mini,4,Android Marshmallow,119,5,8,0.5
Maxwest Nitro 55M,4,Android Marshmallow,180,8,8,1
Maxwest Nitro 55 LTE,4,Android Marshmallow,163,8,8,1
Maxwest Nitro 5M,4,Android Marshmallow,148,5,8,1
Posh Memo Pro LTE L600,4,Android Lollipop,187.6,8,16,1
Posh Equal Plus X700,4,Android Marshmallow,275,5,16,1
Posh Ultra Max LTE L550,4,Android Marshmallow,177,8,16,1
BLU Grand M,4,Android Marshmallow,171,5,8,0.5
BLU Grand X,4,Android Marshmallow,165,5,8,1
vivo V5 Lite,8,Android Marshmallow,155,13,32,3
Xiaomi Redmi Note 4,8,Android Marshmallow,165,13,32,3
Xiaomi Mix Evo,8,Android Nougat,209,16,128,4
vivo V5 Plus,8,Android Marshmallow,158.6,16,64,4
BLU Studio J5,4,Android Marshmallow,130,5,8,1
BLU Tank Xtreme 4.0,4,Android Marshmallow,141,3.15,4,0.5
BLU Tank Xtreme 5.0,4,Android Marshmallow,181,5,8,1
Gionee Steel 2,4,Android Marshmallow,160,8,16,3
HTC U Ultra,4,Android Nougat,170,12,64,4
HTC U Play,8,Android Marshmallow,145,16,32,3
Huawei P8 Lite,8,Android Nougat,147,12,16,3
Coolpad Conjr,4,Android Marshmallow,148,13,16,3
Lenovo B,4,Android Marshmallow,144,5,8,1
Asus Zenfone Go ZB690KG,4,Android Lollipop,270,5,8,1
Meizu M5s,8,Android Marshmallow,138,13,16,2
BLU Energy X Plus 2,4,Android Marshmallow,172,8,8,1
Samsung Galaxy A5,8,Android Marshmallow,157,16,32,3
Asus Zenpad 3 8.0 Z581KL,6,Android Marshmallow,320,8,32,4
LG Stylus 3,8,Android Nougat,149,13,16,3
LG K10,8,Android Nougat,142,13,16,2
LG K8,4,Android Nougat,142,13,16,1.5
LG K4,4,Android Marshmallow,135,5,8,1
LG K3,4,Android Marshmallow,132,5,8,1
Samsung Galaxy J3 Emerge,8,Android Marshmallow,147,5,16,1.5
LG G Pad III 10.1 FHD,8,Android Marshmallow,510,5,32,2
Coolpad Cool S1,4,Android Marshmallow,168,16,64,4
Plum Compass,4,Android Marshmallow,168.7,8,8,1
verykool s4008 Leo V,4,Android Lollipop,141,5,4,0.5
Panasonic P88,4,Android Marshmallow,156,13,16,2
